,city,country,lat,lng,cloudiness,date,humidity,max_temp,wind_speed
0,Hermanus,ZA,-34.42,19.24,56,1548804262,96,60.94,0.52
1,Kapaa,US,22.08,-159.32,75,1548802560,53,78.08,11.3
2,Yellowknife,CA,62.45,-114.38,20,1548799200,68,-14.80,7.2
3,Pingliang,CN,35.54,106.68,92,1548804262,81,23.09,3.02
4,Port Alfred,ZA,-33.59,26.89,88,1548804262,77,73.58,3.92
5,Dikson,RU,73.51,80.55,8,1548804262,83,-18.53,3.97
6,Pangkalanbuun,ID,-2.68,111.62,56,1548804263,96,75.38,1.52
7,Flin Flon,CA,54.77,-101.88,5,1548802800,55,-22.00,2.1
8,Punta Arenas,CL,-53.16,-70.91,40,1548802800,65,44.60,15.9
9,Rikitea,PF,-23.12,-134.97,0,1548804263,100,80.65,4.92
10,Cavalcante,BR,-13.79,-47.46,32,1548804263,47,73.58,2.12
11,Bourges,FR,47.08,2.4,92,1548801000,93,37.40,8.2
12,Ejura,GH,7.38,-1.37,8,1548804263,83,75.83,3.12
13,Saint-Philippe,CA,45.36,-73.48,90,1548802800,92,23.72,4.6
14,Mataura,NZ,-46.19,168.86,20,1548804264,69,78.76,5.87
15,Reynosa,MX,26.07,-98.3,40,1548803700,33,60.98,4.6
16,Ponta do Sol,BR,-20.63,-46.0,56,1548804264,94,64.54,1.42
17,Corrales,CO,5.83,-72.84,24,1548804071,94,51.76,0.62
18,Bethel,US,60.79,-161.76,90,1548803400,86,30.20,6.7
19,Arraial do Cabo,BR,-22.97,-42.02,0,1548799200,78,80.60,7.7
20,Innisfail,CA,52.02,-113.95,40,1548802800,72,15.80,4.1
21,Chalmette,US,29.94,-89.96,20,1548803700,38,50.00,6.2
22,Avarua,CK,-21.21,-159.78,40,1548802800,74,86.00,2.6
23,Kaitangata,NZ,-46.28,169.85,68,1548804265,86,72.68,2.07
24,Airai,TL,-8.93,125.41,44,1548804265,77,76.46,0.92
25,Kruisfontein,ZA,-34.0,24.73,44,1548804265,88,65.84,5.47
26,Bubaque,GW,11.28,-15.83,8,1548804266,100,76.73,4.02
27,Butaritari,KI,3.07,172.79,56,1548804264,100,83.26,6.92
28,Severo-Kurilsk,RU,50.68,156.12,56,1548804028,100,27.82,14.32
29,Cape Town,ZA,-33.93,18.42,75,1548802800,88,68.00,4.1
30,Busselton,AU,-33.64,115.35,0,1548804266,100,60.94,7.47
31,Ushuaia,AR,-54.81,-68.31,75,1548802800,81,50.00,13.4
32,Necochea,AR,-38.55,-58.74,92,1548804027,82,70.34,2.52
33,Hilo,US,19.71,-155.08,1,1548802380,59,75.92,9.3
34,Shingu,JP,33.72,135.99,0,1548802800,59,35.60,2.1
35,Hithadhoo,MV,-0.6,73.08,56,1548804266,100,82.76,6.27
36,Khatanga,RU,71.98,102.47,24,1548804267,81,-38.56,3.27
37,Albany,US,42.65,-73.75,90,1548803820,84,26.96,2.1
38,Kuito,AO,-12.38,16.94,36,1548804267,98,59.86,1.32
39,Paris,FR,48.86,2.35,90,1548799200,100,32.00,4.1
40,Port Elizabeth,US,39.31,-74.98,90,1548802680,89,44.96,4.6
41,Hambantota,LK,6.12,81.12,0,1548804267,100,76.60,6.82
42,Severo-Yeniseyskiy,RU,60.37,93.04,48,1548804267,59,4.60,2.87
43,Dakar,SN,14.69,-17.45,24,1548802800,68,66.20,9.8
44,Vaini,IN,15.34,74.49,0,1548804261,77,65.21,3.82
45,Nikolskoye,RU,59.7,30.79,90,1548802800,92,28.40,4.0
46,Manakara,MG,-22.14,48.01,92,1548804268,96,75.56,2.67
47,Sile,US,35.56,-106.37,1,1548802500,49,39.02,3.1
48,Tasiilaq,GL,65.61,-37.64,8,1548802200,66,12.20,2.6
49,Raudeberg,NO,61.99,5.14,75,1548802200,86,35.60,7.2
50,Saint George,GR,39.45,22.34,90,1548802200,100,51.80,1.42
51,Ribeira Grande,PT,38.52,-28.7,92,1548804269,100,61.16,2.87
52,Alice Springs,AU,-23.7,133.88,0,1548802800,24,91.40,3.6
53,East London,ZA,-33.02,27.91,88,1548804269,82,74.97,2.42
54,Malinovoye Ozero,RU,51.68,79.77,24,1548804269,60,1.54,6.02
55,Bluff,AU,-23.58,149.07,76,1548804266,61,81.68,7.52
56,Nanortalik,GL,60.14,-45.24,24,1548804270,95,29.39,18.57
57,Penzance,GB,50.12,-5.53,75,1548798600,100,39.20,6.2
58,Bartica,GY,6.41,-58.62,40,1548802800,88,77.00,4.1
59,Yarim,YE,14.3,44.38,8,1548804270,55,36.23,1.07
60,Sorland,NO,67.67,12.69,92,1548804270,100,35.47,11.07
61,San Patricio,PY,-26.98,-56.83,8,1548804270,53,85.91,2.32
62,Muravlenko,RU,63.79,74.5,0,1548804271,72,-24.07,4.77
63,Hasaki,JP,35.73,140.83,20,1548802800,100,32.00,1.5
64,Pisco,PE,-13.71,-76.2,75,1548802800,30,71.60,6.7
65,Popondetta,PG,-8.77,148.24,44,1548804271,91,75.97,0.32
66,Mahebourg,MU,-20.41,57.7,75,1548802800,100,75.20,1.97
67,Tessaoua,NE,13.76,7.99,0,1548804271,59,52.16,1.67
68,Poum,MK,41.28,20.71,92,1548804272,99,32.77,0.87
69,Oktyabrskoye,RU,56.73,85.44,0,1548802800,59,3.20,8.0
70,Ruidoso,US,33.33,-105.67,1,1548802680,51,48.20,1.52
71,Kodiak,US,39.95,-94.76,20,1548802500,57,12.02,4.1
72,Menzelinsk,RU,55.73,53.11,0,1548802800,61,12.20,5.0
73,Kahului,US,20.89,-156.47,75,1548803220,86,71.06,8.7
74,Emba,CY,34.81,32.42,40,1548802800,81,57.20,4.1
75,Necocli,CO,8.42,-76.79,40,1548802800,74,82.40,6.2
76,Hualmay,PE,-11.1,-77.61,24,1548804157,70,75.56,2.27
77,Gamba,CN,28.28,88.52,0,1548804273,46,-13.49,3.12
78,Faanui,PF,-16.48,-151.75,80,1548804258,100,83.17,10.42
79,Ajaccio,FR,41.93,8.74,90,1548802800,75,46.40,2.6
80,Upernavik,GL,72.79,-56.15,36,1548804273,100,6.26,2.87
81,Komsomolskiy,RU,67.55,63.78,8,1548804274,45,-28.16,3.22
82,Norman Wells,CA,65.28,-126.83,90,1548799200,71,3.20,5.1
83,Kjopsvik,NO,68.1,16.37,0,1548802200,61,14.00,7.7
84,Uusikaupunki,FI,60.8,21.41,88,1548802200,92,23.00,2.1
85,Shushtar,IR,32.05,48.86,44,1548804274,91,44.47,1.32
86,Bowen,AU,-20.01,148.25,90,1548802800,94,77.00,3.1
87,Thompson,CA,55.74,-97.86,20,1548799200,60,-27.40,3.6
88,Zunyi,CN,27.73,106.92,88,1548804274,100,37.27,1.22
89,Sarkand,KZ,45.41,79.91,0,1548804275,24,-17.81,1.22
90,Manicore,BR,-5.81,-61.3,24,1548804275,94,77.32,0.92
91,Solenzo,BF,12.18,-4.08,0,1548804275,60,63.10,1.32
92,Clyde River,CA,70.47,-68.59,75,1548802800,76,-5.80,5.7
93,Grindavik,IS,63.84,-22.43,0,1548802800,73,24.80,3.6
94,Hobart,AU,-42.88,147.33,0,1548802800,46,69.80,2.6
95,Guerrero Negro,MX,27.97,-114.04,8,1548804153,59,67.28,4.47
96,Codrington,AU,-28.95,153.24,90,1548802800,61,84.20,4.6
97,Port Blair,IN,11.67,92.75,12,1548804276,100,81.82,6.02
98,New Norfolk,AU,-42.78,147.06,0,1548802800,46,69.80,2.6
99,Srivardhan,IN,18.03,73.02,0,1548804021,81,62.20,3.32
100,Barrow,AR,-38.31,-60.23,8,1548804276,47,79.39,3.12
101,Atasu,KZ,48.68,71.64,0,1548804176,70,6.04,5.77
102,Skibbereen,IE,51.55,-9.27,75,1548802800,100,32.00,2.6
103,Srednekolymsk,RU,67.46,153.71,0,1548804276,0,-42.92,1.22
104,Luang Prabang,LA,19.89,102.14,80,1548804277,97,58.01,0.82
105,Comodoro Rivadavia,AR,-45.87,-67.48,20,1548802800,19,69.80,11.3
106,Mount Gambier,AU,-37.83,140.78,80,1548802800,49,69.80,3.6
107,Vaitape,PF,-16.52,-151.75,76,1548804277,99,83.35,10.67
108,Hofn,IS,64.25,-15.21,20,1548804277,100,31.32,7.17
109,Clarence Town,AU,-32.59,151.78,0,1548802800,58,84.20,4.1
110,Vardo,US,39.62,-77.74,20,1548803700,78,32.00,3.6
111,Iqaluit,CA,63.75,-68.52,5,1548802800,68,-20.20,3.6
112,Lebu,ET,8.96,38.73,0,1548804260,78,37.54,1.17
113,Atuona,PF,-9.8,-139.03,48,1548804278,100,81.68,9.12
114,Mukhen,RU,48.19,136.14,56,1548804278,61,15.85,3.42
115,Bonthe,SL,7.53,-12.5,20,1548804278,87,79.34,1.87
116,Lodja,CD,-3.52,23.6,56,1548804278,98,70.57,1.22
117,Bredasdorp,ZA,-34.53,20.04,92,1548802800,78,71.60,2.1
118,Saskylakh,RU,71.97,114.09,56,1548804279,51,-30.50,1.62
119,Aykhal,RU,65.95,111.51,32,1548804279,63,-35.45,1.32
120,Santa Maria del Oro,MX,25.95,-105.37,32,1548804279,19,63.41,1.42
